"","movie_name","rating","types","year","duration","audience_rating","expert_rating"
"14332","DIE ZÄRTLICHKEIT DER WÖLFE (THE TENDERNESS OF WOLVES)","NR","Art House & International, Drama, Horror, Mystery & Suspense","1973","1h22m",NA,NA
"14333","TEQUILA SUNRISE","R","Action & Adventure, Drama, Mystery & Suspense","1988","1h54m","52","40"
"14334","TERM LIFE","R","Action & Adventure, Mystery & Suspense","2016","1h34m","0","32"
"14335","TERMINAL","NR","Drama","2018","1h36m","21","36"
"14336","TERMINAL VELOCITY","PG-13","Action & Adventure, Mystery & Suspense","1994","1h42m","19","22"
"14337","THE TERMINATOR","R","Action & Adventure, Science Fiction & Fantasy","1984","1h48m","100","89"
"14338","TERMINATOR 2: JUDGMENT DAY","R","Action & Adventure, Drama, Science Fiction & Fantasy","1991","2h16m","93","94"
"14339","TERMINATOR 3 - RISE OF THE MACHINES","R","Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy","2003","1h50m","69","46"
"14340","TERMINATOR SALVATION","PG-13","Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy","2009","1h56m","33","54"
"14341","TERMINATOR: DARK FATE","NR","Action & Adventure, Drama, Science Fiction & Fantasy","2019","2h8m","70","82"
"14342","TERMINATOR GENISYS","PG-13","Action & Adventure","2015","2h6m","27","53"
"14343","TERMS AND CONDITIONS MAY APPLY","PG","Comedy, Documentary, Special Interest","2013","1h19m","83","72"
"14344","TERMS OF ENDEARMENT","PG","Comedy, Drama, Romance","1983","2h12m","78","83"
"14345","TERRAFERMA","R","Art House & International, Drama","2013","1h32m","67","57"
"14346","TERRI","R","Comedy","2011","1h45m","87","60"
"14347","TERRIBLY HAPPY (FRYGTELIG LYKKELIG)","PG","Art House & International, Drama, Mystery & Suspense","2010","1h40m","88","73"
"14348","TERRIFIER","NR","Horror","2018","1h22m","64","54"
"14349","TERROR IN A TEXAS TOWN","NR","Action & Adventure, Classics, Western","1958","1h20m","100","68"
"14350","TERROR OF MECHAGODZILLA","G","Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",NA,"1h29m","43","60"
"14351","TERROR TRACT","R","Comedy, Horror, Mystery & Suspense","2000","1h33m","60","35"
"14352","TERROR TRAIN","R","Art House & International, Horror, Mystery & Suspense","1980","1h37m","36","38"
"14353","TESLA","PG-13","Drama","2020","1h42m","60","43"
"14354","TESS","PG","Drama","1979","2h50m","81","78"
"14355","TEST","NR","Drama","2014","1h29m","82","57"
"14356","TESTAMENT","PG","Drama","1983","1h29m","82","74"
"14357","TESTAMENT OF YOUTH","PG-13","Drama, Romance","2015","2h9m","84","78"
"14358","TETRO","R","Drama, Mystery & Suspense","2009","2h7m","71","70"
"14359","TETSUO: THE IRONMAN","R","Art House & International, Cult Movies, Horror, Special Interest","1989","1h7m","79","76"
"14360","TEX","PG","Drama, Kids & Family","1982","1h43m","85","66"
