"","rotten_tomatoes_link","movie_title","content_rating","genres","original_release_date","streaming_release_date","runtime","tomatometer_status","tomatometer_rating","audience_status","audience_rating"
"129","m/10008830-bill","Meet Bill","R","Comedy","2008-04-04","2016-12-12",92,"Rotten",20,"Spilled",44
"130","m/10008849-married_life","Married Life","PG-13","Comedy, Drama, Mystery & Suspense, Romance","2008-03-07","2014-02-12",90,"Rotten",54,"Spilled",36
"131","m/10008856-badland","Badland","R","Drama","2007-11-30","2017-01-19",165,"Rotten",16,"Spilled",54
"132","m/10008924-oxford_murders","The Oxford Murders","R","Art House & International, Drama, Horror, Mystery & Suspense","2010-08-06","2017-02-23",110,"Rotten",17,"Spilled",33
"133","m/10008954-untraceable","Untraceable","R","Drama, Horror, Mystery & Suspense","2008-01-25","2012-04-16",101,"Rotten",16,"Spilled",52
"134","m/10008991-informers","The Informers","R","Drama, Mystery & Suspense","2009-04-24","2012-04-16",98,"Rotten",12,"Spilled",18
"135","m/10008992-meeting_resistance","Meeting Resistance","NR","Documentary, Special Interest","2007-10-19","2008-05-20",84,"Fresh",82,"Spilled",47
"136","m/10009001-the_freshman","The Freshman","PG","Comedy, Drama","1990-07-20","2013-05-01",102,"Certified-Fresh",94,"Upright",61
"137","m/10009005-a_bloody_aria","Guta-yubalja-deul (A Bloody Aria)","NR","Art House & International, Drama, Mystery & Suspense","2006-05-31","2017-03-28",115,"Rotten",42,"Spilled",40
"138","m/10009029-kenny","Kenny","PG-13","Comedy","2008-03-21","2020-04-17",100,"Fresh",100,"Upright",86
"139","m/10009055-rocker","The Rocker","PG-13","Comedy, Drama","2008-06-12","2015-11-25",102,"Rotten",41,"Spilled",46
"140","m/10009063-perfect_holiday","The Perfect Holiday","PG-13","Kids & Family, Romance","2007-12-12","2012-04-16",96,"Rotten",19,"Spilled",52
"141","m/10009066-la_graine_et_le_mulet","La Graine et le Mulet (The Secret of the Grain) (Couscous)","NR","Art House & International, Drama","2007-09-03","2017-05-23",151,"Certified-Fresh",93,"Upright",76
"142","m/10009083-land_of_the_lost","Land of the Lost","PG-13","Action & Adventure, Comedy, Science Fiction & Fantasy","2009-06-05","2015-12-10",102,"Rotten",26,"Spilled",32
"143","m/10009132-rec","[Rec]","R","Art House & International, Horror, Special Interest","2007-11-23","2012-04-16",78,"Fresh",89,"Upright",82
"144","m/10009138-look","Look","R","Comedy, Drama","2007-12-14","2009-05-05",98,"Fresh",60,"Spilled",56
"145","m/1000915-and_god_created_woman","And God Created Woman","R","Classics, Comedy, Drama, Romance","1988-01-01","2016-01-03",98,"Rotten",38,"Spilled",33
"146","m/10009151-box","The Box","PG-13","Horror, Mystery & Suspense, Science Fiction & Fantasy","2009-11-06","2011-08-01",113,"Rotten",44,"Spilled",24
"147","m/10009169-man_in_the_chair","Man in the Chair","PG-13","Comedy, Drama","2007-12-07","2016-09-27",109,"Rotten",50,"Upright",68
"148","m/10009172-undoing","Undoing","R","Drama, Mystery & Suspense","2006-06-24","2017-03-29",90,"Rotten",31,"Spilled",26
"149","m/10009176-black_water","Black Water","R","Horror, Mystery & Suspense","2008-02-19","2012-04-16",90,"Fresh",80,"Spilled",39
"150","m/10009192-21","21","PG-13","Drama, Mystery & Suspense","2008-03-28","2012-04-16",122,"Rotten",35,"Upright",66
"151","m/10009210-duchess_of_langeais","The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe)","NR","Art House & International, Drama, Romance","2007-02-15","2017-04-10",137,"Fresh",70,"Spilled",52
"152","m/10009212-ben_x","Ben X","NR","Art House & International, Drama, Mystery & Suspense","2007-09-26","2017-01-25",93,"Fresh",68,"Upright",80
"153","m/10009225-body_of_lies","Body of Lies","R","Drama, Mystery & Suspense","2008-10-08","2010-09-01",128,"Rotten",55,"Upright",62
"154","m/10009239-passengers","Passengers","PG-13","Drama, Mystery & Suspense","2008-10-24","2014-01-02",92,"Rotten",19,"Spilled",35
"155","m/10009244-the_grand","The Grand","R","Comedy","2008-01-11","2015-11-16",104,"Rotten",40,"Spilled",43
"156","m/10009253-the_hammer","The Hammer","R","Comedy","2007-04-26","2016-08-10",93,"Certified-Fresh",80,"Upright",90
"157","m/10009254-shutter","Shutter","PG-13","Horror, Mystery & Suspense","2008-03-19","2016-08-22",85,"Rotten",9,"Spilled",33
"158","m/10009274-priest","Priest","PG-13","Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western","2011-05-13","2012-04-16",87,"Rotten",15,"Spilled",46
